          id,state,district,crop_year,season,crop_names,area,temp,wind_speed,preasure,humidity,soil ,n ,p,k,production,yield
125191,TamilNadu,Tirunelveli,1997,Autumn     ,Maize,1,20.7708943277142,2.06825996133259,1014.86379590353,21.9471470591334,loamy,56.07,0,0,1113,1113
125192,TamilNadu,Tirunelveli,1997,Kharif     ,Arhar/Tur,17600,20.1604258915886,1.97647993243754,1015.19352754647,20.6432369372058,sandy,9,9,0,6300,0.357954545454545
125193,TamilNadu,Tirunelveli,1997,Kharif     ,Bajra,274100,21.998298597179,2.00052426023537,1014.18460712206,21.422312371835,clay,0,0,0,152800,0.557460780736957
125194,TamilNadu,Tirunelveli,1997,Kharif     ,Gram,40800,21.7763766248731,2.01974978483601,1015.05311838981,21.8105672399397,chalky,38.25,38.25,38.25,18600,0.455882352941176
125195,TamilNadu,Tirunelveli,1997,Kharif     ,Jowar,900,20.0757336132435,1.97435068639693,1015.17023775216,21.9302058176862,clay,0,23.184,0,1100,1.22222222222222
125196,TamilNadu,Tirunelveli,1997,Kharif     ,Maize,4400,21.6423544575603,2.07506562468898,1015.70248239687,21.5714029997062,sandy,5.64,14.664,14.664,4700,1.06818181818181
125197,TamilNadu,Tirunelveli,1997,Kharif     ,Moong(Green Gram),10200,21.1996583109367,2.07955192840431,1013.86586197339,20.8337248457108,peaty,41.7,111.2,55.6,900,0.088235294117647
125198,TamilNadu,Tirunelveli,1997,Kharif     ,Pulses total,451,21.3668505404179,2.07857432314844,1013.05145455686,20.0843609294447,silty,7.476,7.476,0,130,0.288248337028824
125199,TamilNadu,Tirunelveli,1997,Kharif     ,Ragi,2600,21.8775421964446,2.05419926942189,1014.98254167634,21.6433632301608,silty,2.1,5.25,2.1,2100,0.807692307692307
125200,TamilNadu,Tirunelveli,1997,Kharif     ,Rice,5900,21.6296759893135,2.10763923613812,1014.72431515099,20.920125741346,chalky,0,0,0,7200,1.22033898305084
125201,TamilNadu,Tirunelveli,1997,Kharif     ,Sugarcane,45900,20.6648319833727,2.10746593692585,1013.16405422647,21.3053633352769,sandy,3.392,4.24,0,38940,0.848366013071895
125202,TamilNadu,Tirunelveli,1997,Kharif     ,Total foodgrain,3384,21.3597422627757,2.01567318887502,1014.10879708318,20.1769869629825,silt,2.8,0,0,1836,0.542553191489361
125203,TamilNadu,Tirunelveli,1997,Kharif     ,Urad,1600,20.7482371774359,2.03553133783405,1013.02282158344,21.7944825072205,chalky,2.898,2.898,0,800,0.5
125204,TamilNadu,Tirunelveli,1997,Rabi       ,Jowar,598400,22.0417145817851,1.9875258648651,1015.331911718,20.3494916854355,silt,0,0,0,217000,0.362633689839572
125205,TamilNadu,Tirunelveli,1997,Rabi       ,Maize,6200,21.9682526140034,1.98176598062538,1014.06200311921,20.6388941684825,silty,901.37,0,0,9100,1.46774193548387
125206,TamilNadu,Tirunelveli,1997,Rabi       ,Other  Rabi pulses,60,20.8831411438076,2.03275381199285,1014.99962634651,20.2759098812953,chalky,7.704,19.688,0,3,0.05
125207,TamilNadu,Tirunelveli,1997,Rabi       ,Wheat,79700,20.9654617498407,2.07995730519765,1015.58670124899,21.4840263033461,loamy,50.568,0,0,87100,1.09284818067754
